"power" "noise" "d_type" "method"
1 3 "exp" "SIT"
0.996 4 "exp" "SIT"
0.936 5 "exp" "SIT"
0.81 6 "exp" "SIT"
0.638 7 "exp" "SIT"
0.564 8 "exp" "SIT"
0.402 9 "exp" "SIT"
0.312 10 "exp" "SIT"
0.214 11 "exp" "SIT"
0.214 12 "exp" "SIT"
0.142 13 "exp" "SIT"
0.154 14 "exp" "SIT"
0.15 15 "exp" "SIT"
0.108 16 "exp" "SIT"
0.122 17 "exp" "SIT"
0.128 18 "exp" "SIT"
0.08 19 "exp" "SIT"
0.096 20 "exp" "SIT"
0.082 21 "exp" "SIT"
0.072 22 "exp" "SIT"
0.074 23 "exp" "SIT"
0.094 24 "exp" "SIT"
0.072 25 "exp" "SIT"
0.078 26 "exp" "SIT"
0.06 27 "exp" "SIT"
0.068 28 "exp" "SIT"
0.076 29 "exp" "SIT"
0.072 30 "exp" "SIT"
1 1 "log" "SIT"
1 2 "log" "SIT"
1 3 "log" "SIT"
1 4 "log" "SIT"
1 5 "log" "SIT"
1 6 "log" "SIT"
0.998 7 "log" "SIT"
0.99 8 "log" "SIT"
0.966 9 "log" "SIT"
0.892 10 "log" "SIT"
0.88 11 "log" "SIT"
0.658 12 "log" "SIT"
0.694 13 "log" "SIT"
0.64 14 "log" "SIT"
0.53 15 "log" "SIT"
0.466 16 "log" "SIT"
0.474 17 "log" "SIT"
0.368 18 "log" "SIT"
0.326 19 "log" "SIT"
0.326 20 "log" "SIT"
0.218 21 "log" "SIT"
0.218 22 "log" "SIT"
0.194 23 "log" "SIT"
0.216 24 "log" "SIT"
0.208 25 "log" "SIT"
0.178 26 "log" "SIT"
0.146 27 "log" "SIT"
0.164 28 "log" "SIT"
0.096 29 "log" "SIT"
0.136 30 "log" "SIT"
1 1 "exp" "spearman"
1 2 "exp" "spearman"
1 3 "exp" "spearman"
1 4 "exp" "spearman"
1 5 "exp" "spearman"
0.998 6 "exp" "spearman"
0.978 7 "exp" "spearman"
0.928 8 "exp" "spearman"
0.896 9 "exp" "spearman"
0.752 10 "exp" "spearman"
0.764 11 "exp" "spearman"
0.65 12 "exp" "spearman"
0.548 13 "exp" "spearman"
0.544 14 "exp" "spearman"
0.532 15 "exp" "spearman"
0.408 16 "exp" "spearman"
0.424 17 "exp" "spearman"
0.368 18 "exp" "spearman"
0.302 19 "exp" "spearman"
0.284 20 "exp" "spearman"
0.218 21 "exp" "spearman"
0.274 22 "exp" "spearman"
0.21 23 "exp" "spearman"
0.2 24 "exp" "spearman"
0.208 25 "exp" "spearman"
0.204 26 "exp" "spearman"
0.15 27 "exp" "spearman"
0.182 28 "exp" "spearman"
0.148 29 "exp" "spearman"
0.182 30 "exp" "spearman"
1 1 "log" "spearman"
1 2 "log" "spearman"
1 3 "log" "spearman"
1 4 "log" "spearman"
1 5 "log" "spearman"
1 6 "log" "spearman"
1 7 "log" "spearman"
1 8 "log" "spearman"
1 9 "log" "spearman"
0.992 10 "log" "spearman"
0.99 11 "log" "spearman"
0.976 12 "log" "spearman"
0.956 13 "log" "spearman"
0.952 14 "log" "spearman"
0.928 15 "log" "spearman"
0.854 16 "log" "spearman"
0.852 17 "log" "spearman"
0.83 18 "log" "spearman"
0.716 19 "log" "spearman"
0.728 20 "log" "spearman"
0.692 21 "log" "spearman"
0.586 22 "log" "spearman"
0.62 23 "log" "spearman"
0.588 24 "log" "spearman"
0.512 25 "log" "spearman"
0.468 26 "log" "spearman"
0.442 27 "log" "spearman"
0.462 28 "log" "spearman"
0.352 29 "log" "spearman"
0.306 30 "log" "spearman"
